code,name,type
NURS90154,Foundations of Nursing Practice,Subject
PHIL40003,Topics in Moral Psychology,Subject
FREN20015,French 3,Requisites apply | Subject
EDUC91147,Learning Area Science 2,Requisites apply | Subject
ENST90042,Environmental Industry Research - 50 Pt2,Requisites apply | Subject
DPSS90011,Industry Practice Part 2,Requisites apply | Overseas | Subject
MGMT90273,Service Supply Chain Management,Subject
HIST90035,International Relations Thesis Part 2,Requisites apply | Subject
COMP90042,Natural Language Processing,Requisites apply | Subject
LING30015,Corpus Linguistics,Requisites apply | Subject
CLAS30004,Intensive Beginners Latin,Subject
ENGR90027,Engineering Project,Requisites apply | Subject
ACUR90008,Curating Art in Practice,Quotas apply | Requisites apply | Subject
CHEM90060,Chemistry Research Project Pt 5,Subject
POLS30003,Public Affairs Internship,Quotas apply | Requisites apply | Workplace component | Subject
GEOG90021,Conservation and Cultural Environments,Requisites apply | Subject
LAWS70003,Minor Thesis (LLM) # P/T,Quotas apply | Requisites apply | Subject
LAWS90056,Comparative Federal Constitutional Law,Quotas apply | Requisites apply | Subject
SCIE90013,Communication for Research Scientists,Subject
LAWS90164,MLS Tax Clinic,Quotas apply | Requisites apply | Subject
PSYC20001,Quantitative Methods for Psychology 2,Requisites apply | Subject
LAWS70112,Remedies in the Construction Context,Quotas apply | Requisites apply | Subject
JAPN30018,Global Japanese in Context,Requisites apply | Subject
LAWS70334,Bills of Rights,Subject
CULS20014,"Consumer Culture, Media and Lifestyle",Subject
MULT90014,Business Risk Management,Subject
PSYC80004,PhD Research,Subject
NRMT90002,Biosecurity: Managing Invasive Species,Requisites apply | Subject
BUSA90534,Immersive Business Experience,Requisites apply | Subject
FLTV90046,Screen Story 2,Requisites apply | Subject
ITAL20006,Languages of Venice: Study Abroad,Requisites apply | Overseas | Subject
PUBL90001,Structural Editing,Requisites apply | Subject
LAWS70402,Remedies in Commercial Law,Quotas apply | Subject
GEOM90006,Spatial Data Analytics,Subject
GEND30007,Trans Studies: Cultures and Communities,Subject
CREA70001,Research Project (MFA),Subject
MCEN90017,Advanced Motion Control,Requisites apply | Subject
POLS20033,Authoritarian Politics,Subject
GEND30006,"Trauma, Memory, Bodies",Subject
LAWS70110,International Financial System,Quotas apply | Subject
PHYC10001,Physics 1: Advanced,Requisites apply | Subject
EDUC91110,Learning Area Media Studies 1,Subject
EDUC90587,Grammar for Language Teachers,Requisites apply | Subject
MAST90132,Lie Algebras,Requisites apply | Subject
PADM90016,Public Sector Governance,Subject
AUDI90034,Planning and Integrating Intervention,Requisites apply | Subject
ATOC90019,Climate Science Research Project,Requisites apply | Subject
MEDS90039,MD Discovery 1: Foundation,Subject
ARBC40001,Honours Arabic A,Subject
ECON30001,International Trade Policy,Requisites apply | Subject
GENP40001,Primary Care Research Project Part 2,Requisites apply | Subject
CHIN40007,Chinese Thesis Part 2,Requisites apply | Subject
FNCE30006,Entrepreneurial Finance,Requisites apply | Subject
PSYC30013,Research Methods for Human Inquiry,Subject
AUDI90057,Sound and Innovative Solutions A,Requisites apply | Subject
SCWK90061,Narrative Practice & Research Synthesis,Requisites apply | Subject
LAWS50055,Advocacy,Quotas apply | Requisites apply | Subject
VETS90046,Advanced Clinical Skills 1 Part A,Requisites apply | Subject
ACCT40002,Research in Management Accounting,Requisites apply | Subject
BIOL10011,Biology: Life's Complexity,Requisites apply | Subject
BUSA90530,Managing Sustainability for Strat. Adv.,Quotas apply | Requisites apply | Subject
CHEM90063,Chemistry Research Project Pt 5,Subject
MGMT30002,Managing in Contemporary Organisations,Requisites apply | Subject
EDUC91023,"Equity, Diversity & Inclusive Practices",Subject
ABPL30068,Design Internship,Requisites apply | Subject
DPSS90009,Technical Collaboration (Stage & Screen),Subject
FNCE30007,Derivative Securities,Requisites apply | Subject
ORAL20001,Health Promotion 2,Requisites apply | Subject
ECOM90025,Advanced Data Analysis,Requisites apply | Subject
LAWS90017,International Tax: Advanced Topics,Quotas apply | Requisites apply | Subject
EDUC90931,Education Research Design Part 1,Requisites apply | Subject
LAWS70161,International Petroleum Transactions,Quotas apply | Requisites apply | Subject
PPMN90032,Innovative Design and Service Delivery,Subject
VETS90031,Veterinary Industry Internship,Subject
EDUC91097,Learning Area Commerce 1,Subject
PUBL90025,Grattan Street Press (Extended),Requisites apply | Subject
HIST30065,US and the World: Rise of a Superpower,Subject
CWRI90019,Advanced Creative Writing Project,Requisites apply | Subject
ISYS90110,Info Systems Capstone Research Proj Pt2,Requisites apply | Subject
BUSA90395,Managing People for High Performance,Subject
EDUC90729,Conducting Educational Research,Requisites apply | Subject
FOOD90007,Advanced Food Processing Technology,Subject
HEBR30004,Hebrew 6,Requisites apply | Subject
HPSC30019,Minds and Madness,Subject
EDUC91165,Learning Area Humanities 3,Requisites apply | Subject
ECON90081,Energy Markets,Requisites apply | Subject
BUSA90478,Doing Business in Australia,Subject
