code,name,type
COMP90066,Computer Science Research Project Pt2,Requisites apply | Subject
JOUR90016,Journalism Thesis Part 2,Requisites apply | Subject
MUSI90188,Music and Health Research,Requisites apply | Subject
EDUC90101,Multilingual Practices in Global Times,Quotas apply | Requisites apply | Subject
FNCE30011,Essentials of Corporate Valuation,Requisites apply | Subject
POPH90172,SocioEnvironmentalContext of Adolescents,Subject
ABPL10007,Architectural Technologies 1: Place,Requisites apply | Subject
GERM40016,German Thesis Part 1,Requisites apply | Subject
ABPL90117,Twenty-first Century Architecture,Requisites apply | Subject
CHEM90047,Organic Electronics,Requisites apply | Subject
NURS90018,Consumer Perspective: Theory & Practice,Subject
CHEN90023,Chemical Engineering Research Project,Requisites apply | Subject
EDUC91095,Learning Area Business Management 1,Subject
TRAN90008,Translating in a Chinese Context,Requisites apply | Subject
PHTY90116,Foundation Physiotherapy Sciences B,Requisites apply | Subject
EDUC91347,Global Context of Mathematics Education,Requisites apply | Subject
ANCW40017,Ancient World Studies Thesis Part 2,Requisites apply | Subject
MUSI20226,Jazz and Improvisation Global Atelier,Quotas apply | Requisites apply | Overseas | Subject
RUSS40010,Russian Thesis Part 2,Requisites apply | Subject
CWRI90021,Genealogies of Place,Subject
BUSA90510,Executive Management 6,Requisites apply | Subject
MUSI30032,Music Research,Subject
SCIE90022,Research Project in Comp Biology Pt2,Requisites apply | Subject
FOOD90010,Meat and Meat Products,Subject
DENT90108,Research Proposal,Subject
ECON30024,Economics of Financial Markets,Requisites apply | Subject
MUSI20211,Percussion Ensemble,Subject
MEDS90043,MD Discovery 3: Research Scholar,Requisites apply | Subject
PHTY90089,Neurological Physiotherapy,Requisites apply | Subject
ANCW30016,The Age of Alexander the Great,Subject
EDUC30071,Expertise and Your Professional Career,Subject
EDUC91193,Wellbeing Coaching,Subject
ATOC90020,Climate Science Research Project Pt.1,Requisites apply | Subject
ABPL90274,Property Markets and Valuations,Requisites apply | Subject
MECM90034,Marketing & Media in a Global Context,Requisites apply | Subject
INDO20017,Indonesia in the World,Requisites apply | Subject
MUSI30252,Performance 5,Requisites apply | Subject
MUSI30230,Interactive Composition 6,Requisites apply | Subject
MGMT90017,HR Consulting,Subject
PSYC90010,Mental Health Issues Across the Lifespan,Requisites apply | Subject
CREA80001,PhD Research,Subject
CUMC90041,Research Methods,Requisites apply | Subject
LAWS90325,"Traditional Knowledge, Biodiversity & IP",Quotas apply | Subject
NUTR40001,Human Nutrition Research Project Part 1,Subject
GENP90017,Nurse Immuniser,Requisites apply | Subject
ECON90013,Labour Economics,Requisites apply | Subject
ANTH20015,Melbourne: Urban Anthropology in Action,Subject
LAWS70366,International Refugee Law,Quotas apply | Requisites apply | Subject
EDUC91351,Communicating for Wellbeing,Requisites apply | Subject
CRIM90016,Community Justice Project,Subject
NURS90138,Radiation Oncology Nursing,Subject
MUSI20182,Music Making Laboratory 3,Requisites apply | Subject
MUSI90238,"Music, Learning & Technology",Subject
AIND10003,Ancient & Contemporary Indigenous Arts,Quotas apply | Subject
MAST90109,Data Science Research Project Pt2,Requisites apply | Subject
MEDI90019,Clinical Research Proposal,Requisites apply | Subject
PATH40006,Clinical Path Research Project Part 1,Requisites apply | Subject
EDUC91085,Engaging and Assessing Learners (Prim) 3,Requisites apply | Subject
GEOG20013,Health Geography,Subject
DENT90047,OMS Clinical Practice 1,Subject
BIOL20001,Evolution: Making Sense Of Life,Requisites apply | Subject
DENT90103,Prosthodontics 2,Subject
PHIL30024,The Foundations of Interpretation,Subject
MGMT90278,Supply Chain Strategy,Subject
EDUC91106,Learning Area Humanities Additional 1,Requisites apply | Subject
LAWS50093,Insolvency Law,Quotas apply | Requisites apply | Subject
MAST90136,Algebraic Number Theory,Requisites apply | Subject
ECON30029,International Macroeconomics,Requisites apply | Subject
MUSI20214,Chamber Choir 2,Requisites apply | Subject
ABPL90077,Introduction to Transport and Land Use,Subject
CUMC90030,Conservation Practice,Requisites apply | Subject
MCEN90028,Robotics Systems,Requisites apply | Subject
ABPL90436,Galapagos at Shenzhen Biennale,Quotas apply | Requisites apply | Subject
MGMT90018,Managing Behaviour in Organisations,Subject
SOCI30014,Race and Racism in Australia,Subject
PSYT90010,Research Methods in Psychiatry,Subject
ATOC90014,General Circulation of the Atmosphere,Subject
ABPL90313,Management of Construction,Subject
FINA30018,Critical and Theoretical Studies 6,Requisites apply | Subject
CHIN10018,Chinese 6,Requisites apply | Subject
ASIA20004,Asian Arts: Networks and Hubs,Subject
ANCW30004,Beyond Babylon,Subject
MUSI20207,Applied Aural Musicianship 2,Subject
CLAS10014,Latin 4,Requisites apply | Subject
CLRS90013,Responsibilities in Clinical Research,Requisites apply | Subject
MCEN30018,Thermodynamics and Fluid Mechanics,Requisites apply | Subject
ELEN90093,Microprocessor Design Clinic,Requisites apply | Subject
JAPN20010,Japanese Grammar in Action,Requisites apply | Subject
MGMT90015,Human Resource Fundamentals,Subject
EDUC91218,Learning Area Environmental Sci (SI) 1,Subject
ANCW30025,Field Archaeology,Quotas apply | Requisites apply | Overseas | Subject
BMSC90024,Research Project A (MDS) Part 2,Requisites apply | Subject
CWRI30001,Novels,Subject
FLTV20020,International Film Festival Studio,Requisites apply | Overseas | Subject
BUSA90059,Data Analytics for Decision Making,Quotas apply | Requisites apply | Subject
LING90041,Projects in Applied Linguistics,Requisites apply | Subject
HIST20071,"Protest & Politics: US History, 1945-Now",Subject
LAWS90062,Business Negotiations and Deal-Making,Quotas apply | Requisites apply | Subject
MUSI20181,Interactive Composition 3,Requisites apply | Subject
ARBC40007,Arabic Studies Thesis Part 1,Requisites apply | Subject
ABPL90118,Applied Architectural Technology,Requisites apply | Subject
MUSI10233,ANAM-MCM Ensembles 1,Subject
ITAL90004,Graduate Italian B,Requisites apply | Subject
MUSI20069,Baroque Ensemble 1,Subject
ABPL90356,Bower Studio,Quotas apply | Requisites apply | Subject
LAWS90197,Consumer Law,Quotas apply | Requisites apply | Subject
AHIS30025,Photography in China,Subject
MKTG90049,"Marketing, Society and Sustainability",Subject
EDUC90517,Project on Teaching and Learning,Requisites apply | Subject
MGMT90227,Entrepreneurial Organisation,Subject
EDUC91096,Learning Area Chemistry 1,Subject
FREN30026,Global Francophone Cities,Requisites apply | Subject
CVEN90069,Dredging Engineering,Subject
BTCH90005,Advanced Molecular Biology Techniques,Subject
ARCH30002,Design Studio Epsilon,Requisites apply | Subject
ECOM40007,Econometrics of Markets and Competition,Requisites apply | Subject
GEND40005,Gender Studies Research Methods,Requisites apply | Subject
MUSI90153,Professional Practice 2,Requisites apply | Subject
GEOG40009,Geography Honours Research Project Pt1,Requisites apply | Subject
MUSI20179,Ensemble Studies 4,Requisites apply | Subject
MUSI90221,Orchestral Performance Practicum 1,Requisites apply | Subject
ENGR20004,Engineering Mechanics,Requisites apply | Subject
PHYC90009,Physical Cosmology,Requisites apply | Subject
AGRI30037,Soil Management,Requisites apply | Subject
EDUC91141,Learning Area Music A2,Requisites apply | Subject
MGMT30019,The Future of Work,Subject
MEDI90047,"Congenital,Obstetric& Medical Conditions",Requisites apply | Subject
BUSA90274,Negotiations,Subject
ACCT40003,Research in Auditing,Requisites apply | Subject
EDUC90006,Environmental Education,Requisites apply | Subject
SPAN40002,Spanish Honours Language Seminar,Requisites apply | Subject
ECON90071,Economics Research Report Part 1,Requisites apply | Subject
ACCT30007,Special Topics in Accounting,Requisites apply | Subject
MUSI10225,Chamber Choir 1,Requisites apply | Subject
MUSI10230,Musical Perspectives,Subject
GEND10002,"Global Intersections:Gender, Race, Class",Subject
MKTG90006,Branding,Subject
PSYC90084,Neuroanatomy for Neuropsychologists,Subject
MGMT90177,Supply Chain Management Project,Requisites apply | Subject
EDUC90969,IB MYP Advanced,Requisites apply | Subject
MUSI10076,Piano Duo and Duet 1,Requisites apply | Subject
MGMT90275,Sustainable Supply Chain Management,Subject
FNCE90087,Sustainable Investment,Requisites apply | Subject
ECON90014,Macroeconomics II,Requisites apply | Subject
MUSI30277,Big Band 1 (Breadth),Requisites apply | Subject
MGMT90284,Intrapreneurship: Implementation,Requisites apply | Subject
DENT90088,Endodontics 2,Requisites apply | Subject
FREN20002,French 6,Requisites apply | Subject
ABPL90074,Landscape Detail Design,Requisites apply | Subject
PUBL90020,Advanced Book Publishing,Requisites apply | Subject
LAWS70385,White Collar Crime,Quotas apply | Requisites apply | Subject
LAWS90206,Social Procurement Law and Policy,Quotas apply | Subject
ERTH40008,Earth Sciences Research Project Pt1,Requisites apply | Subject
MUSI30258,Chamber Choir 2,Requisites apply | Subject
CWRI20005,Creative Non Fiction,Subject
DEVT90040,Gender Issues in Development,Subject
MGMT90235,Minor Thesis Part 1,Requisites apply | Subject
EDUC91265,Learning Area Accounting (SI) 3,Requisites apply | Subject
BMSC90021,Laboratory Models of Human Disease,Subject
GEOG90026,Global Climate Change In Context,Quotas apply | Subject
PHYC90034,Physics Research Project Pt 2,Subject
SCWK90050,Supervised Field Placement 2A,Requisites apply | Subject
EVSC90020,Environmental Modelling,Requisites apply | Subject
LAWS70008,Corporate Tax B,Quotas apply | Requisites apply | Subject
ENGL20036,Theatre Histories,Subject
LAWS70261,Designs Law and Practice,Quotas apply | Subject
MAST90026,Computational Differential Equations,Requisites apply | Subject
ACCT30006,Financial Analysis and Valuation,Requisites apply | Subject
NURS90099,Critical Care Nursing Practice,Requisites apply | Subject
MUSI30166,Big Band 2,Requisites apply | Subject
LAWS90023,International Law and Geopolitics,Quotas apply | Requisites apply | Subject
LAWS50064,Employment Law,Quotas apply | Requisites apply | Subject
LAWS70368,Law of Intergovernmental Relations,Quotas apply | Requisites apply | Subject
PHYC40009,Physics Research Project Pt1,Requisites apply | Subject
POPH90283,Epidemiology Research Project Part 2,Requisites apply | Subject
ANTH20016,"Crisis, Culture and Resistance",Subject
MUSI20074,Brass Ensemble 2,Subject
EDUC91094,Learning Area Biology 1,Subject
AUDI90053,Audiology Practice A,Requisites apply | Subject
LAWS90077,Not for Profits and the Law,Quotas apply | Requisites apply | Subject
MAST90045,Systems Modelling and Simulation,Requisites apply | Subject
ERTH40011,Earth Sciences Research Project Pt2,Requisites apply | Subject
POLS90064,Security and Development in South Asia,Requisites apply | Overseas | Subject
POLS10003,Introduction to Political Ideas,Subject
MECM10006,Communication for Changemaking,Subject
ASIA20001,Media and Urban Culture in Asia,Subject
FLTV20022,Movies and Money 1,Subject
ECON40018,Economics Research Essay Part 1,Subject
CRIM10002,Law in Society,Subject
BIOM30001,Frontiers in Biomedicine,Requisites apply | Subject
VETS30033,Health & Disease in Wildlife Populations,Requisites apply | Subject
PSYT90114,Managing Youth Self-harm and Suicide 1,Subject
MAST20026,Real Analysis,Requisites apply | Subject
EDUC91079,Language and Literacy: F to Year 2,Subject
ECOM90020,Computational Economics and Business,Requisites apply | Subject
LAWS90327,Climate Resilience Clinic,Quotas apply | Requisites apply | Subject
EDUC91362,Foundations: Digital Futures,Subject
LAWS50046,Taxation Law and Policy,Quotas apply | Requisites apply | Subject
GERM20011,Berlin and Beyond,Quotas apply | Requisites apply | Overseas | Subject
LAWS90151,The Law of Public Contracting,Quotas apply | Subject
MUSI30174,Conservatorium Choir 1,Requisites apply | Subject
ARCH20002,Design Studio Gamma,Requisites apply | Subject
FRST20015,Fire in the Australian Landscape,Requisites apply | Subject
MKTG90026,Marketing Metrics,Subject
LAWS50031,Legal Theory,Quotas apply | Requisites apply | Subject
ITAL10005,Italian 2,Requisites apply | Subject
BUSA90575,Managing in a Global Environment,Quotas apply | Subject
BUSA90541,Predictive Business Analytics,Requisites apply | Subject
LAWS70184,Criminalising Speech in the Internet Age,Quotas apply | Requisites apply | Subject
MAST20018,Discrete Maths and Operations Research,Requisites apply | Subject
MUSI90241,Theories of Inclusive Music Teaching,Subject
POPH90315,Public Health Leadership and Management,Requisites apply | Subject
FREN30024,Global French Studies (Advanced),Requisites apply | Subject
RUSS40009,Russian Thesis Part 1,Requisites apply | Subject
CHIN20002,Chinese 4,Requisites apply | Subject
EDUC91129,Learning Area Drama B2,Requisites apply | Subject
ASIA90013,International Relations Thesis Part 2,Requisites apply | Subject
MCEN90052,Advanced Materials,Requisites apply | Subject
POPH90271,Infectious Diseases Modelling,Requisites apply | Subject
ECOL30006,Ecology in Changing Environments,Requisites apply | Subject
ARTS90047,Advanced Qualitative Methods,Subject
MGMT20002,Managing Processes and Projects,Requisites apply | Subject
POLS90042,Latin America in the World,Subject
MKTG90007,Customer Experience Management,Requisites apply | Subject
ITAL30003,Italian in Context,Requisites apply | Subject
EDUC90932,Education Research Design Part 2,Requisites apply | Subject
MUSI30250,Practical Music 5,Requisites apply | Subject
LAWS70239,Payment Matters in Construction Projects,Quotas apply | Requisites apply | Subject
EDUC91114,Learning Area Physics 1,Subject
ORAL90003,Oral Health Sciences 4,Requisites apply | Subject
MUSI40036,Conducting,Subject
MEDS90008,Educational Theory for Surgical Training,Requisites apply | Subject
MKTG30007,Marketing and Society,Requisites apply | Subject
MGMT90247,Maintaining Quality within Institutions,Subject
BTCH30002,Trends & Issues in Agrifood Biotech,Requisites apply | Subject
CHEN90035,Downstream Bioprocessing,Requisites apply | Subject
MUSI20196,Riffs: Guitar Cultures & Practice 2,Subject
LAWS50029,Contracts,Requisites apply | Subject
PHIL20048,Values of Art,Subject
CHEM90065,Advanced NMR Spectroscopy,Requisites apply | Subject
SWEN30006,Software Modelling and Design,Requisites apply | Subject
LAWS90036,Legal Drafting,Quotas apply | Requisites apply | Subject
ABPL90280,"City Lights: Cities, Culture and History",Requisites apply | Subject
JAPN10003,Japanese 5,Requisites apply | Subject
MUSI40094,Music as Noise: Making Sound Art,Subject
ENST90046,Landscape Governance and Policy,Subject
MUSI40080,Honours Ensemble 2,Subject
EDUC91120,Learning Area Visual Arts and Design B1,Requisites apply | Subject
SCRN30006,Ethnographic and Documentary Cinema,Subject
BIOL10009,Biology: Life's Machinery,Requisites apply | Subject
RUSS30005,Russian Culture Through Film,Requisites apply | Subject
PAED90020,Clinical Practice,Requisites apply | Subject
FLTV20012,Screenwriting Practices 2A,Requisites apply | Subject
VETS90057,Principles of Medicine & Surgery 3 PtB,Requisites apply | Subject
BIOL90018,BioSciences Research Project Part 4,Requisites apply | Subject
PHTY90111,Leadership in Professional Practice,Requisites apply | Subject
ISYS90049,Digital Business Analysis,Subject
ACCT90011,Special Topics in Accounting,Requisites apply | Subject
GENE90026,Clinical Genome Variant Analysis 1,Requisites apply | Subject
CHIN10005,Chinese 1,Requisites apply | Subject
PADM90013,Leadership in Clinical Settings,Requisites apply | Subject
MUSI40017,Practical Study 2,Requisites apply | Subject
AUDI90029,Clinical Processes B,Requisites apply | Subject
CWRI40009,Genealogies of Place,Requisites apply | Subject
CHEN20011,Digitisation in the Process Industries,Requisites apply | Subject
POLS40021,Politics & International Thesis Part 1,Requisites apply | Subject
INDO20007,Indonesian 4,Requisites apply | Subject
AGRI30042,Plant Pathology,Requisites apply | Subject
MEDS40007,Introduction to Medical Research,Requisites apply | Subject
BIOL90034,BioSciences Research Project Pt 4(Cont.),Subject
CUMC90006,Conservation Industry Internship,Requisites apply | Workplace component | Subject
MGMT90026,Supply Chain Management,Subject
ECON90032,Macroeconomics for Managers,Requisites apply | Subject
PHIL40005,Topics in Metaphysics,Subject
MGMT90011,Managing Stakeholders,Subject
INTS90007,Rising China in the Globalised World,Subject
KORE40004,Honours Korean B,Requisites apply | Subject
CHEM90027,Chemistry Research Project Pt 2,Subject
HORT90041,Tree Growth and Function,Subject
ITAL20009,Italian Cultural Studies A,Requisites apply | Overseas | Subject
MUSI20104,Shakuhachi 1,Subject
ISLM90007,Politics of the Modern Middle East,Subject
ECON90072,Economics Research Report Part 2,Requisites apply | Subject
LAWS70073,Expert Evidence,Quotas apply | Subject
CMCE30003,Machine Learning & AI for Business,Requisites apply | Subject
ITAL20002,Italian 7,Requisites apply | Subject
LAWS50106,Murder,Quotas apply | Requisites apply | Subject
SCIE30003,Science Research Project Abroad,Requisites apply | Subject
EDUC91229,Learning Area Physical Education (SI) 1,Subject
GERM20001,German 7,Requisites apply | Subject
ABPL90420,Interactive Architecture,Subject
POLS90047,Diplomacy: Theory and Practice,Subject
VETS90027,Master Thesis in Vet Science (Clinical),Requisites apply | Subject
BMSC90035,Research Project A (SBS) Part 1,Subject
BUSA90229,Operations,Quotas apply | Requisites apply | Subject
MUSI90240,Methods for Inclusive Music Teaching,Subject
BUSA90542,Machine Learning & AI for Business,Requisites apply | Subject
PSYC90016,Advanced Psychological Practice 2,Requisites apply | Subject
EDUC91152,Professional Learning Capstone (MTeach),Requisites apply | Subject
BUSA90547,Applied Business Analytics,Requisites apply | Subject
ECOM30001,Basic Econometrics,Requisites apply | Subject
CLAS20029,Latin 3,Requisites apply | Subject
BMEN90038,Biomechanics,Requisites apply | Subject
ABPL90310,Construction Industry and Environment,Requisites apply | Subject
ACCT90041,Fundamentals in Accounting,Subject
ACTL30001,Actuarial Modelling I,Requisites apply | Subject
MUSI90151,Music Performance Curriculum& Assessment,Subject
MGMT90245,Managing Quality Audits & Reviews in TE,Subject
COMP90057,Advanced Theoretical Computer Science,Requisites apply | Subject
JAPN30002,Social Change in Japan,Subject
VETS90027,Master Thesis in Vet Science (Clinical),Requisites apply | Subject
BMSC90035,Research Project A (SBS) Part 1,Subject
BUSA90229,Operations,Quotas apply | Requisites apply | Subject
MUSI90240,Methods for Inclusive Music Teaching,Subject
BUSA90542,Machine Learning & AI for Business,Requisites apply | Subject
PSYC90016,Advanced Psychological Practice 2,Requisites apply | Subject
EDUC91152,Professional Learning Capstone (MTeach),Requisites apply | Subject
ECOM90023,Treatment Effects and Program Evaluation,Requisites apply | Subject
PHIL30055,Build-Your-Own: Metaphysics,Subject
EDUC91251,Learning Area Languages (SI) 2,Requisites apply | Subject
BUSA90060,Data Analysis,Quotas apply | Requisites apply | Subject
ANCW30011,Underworld and Afterlife,Subject
ECOM90023,Treatment Effects and Program Evaluation,Requisites apply | Subject
PHIL30055,Build-Your-Own: Metaphysics,Subject
EDUC91251,Learning Area Languages (SI) 2,Requisites apply | Subject
BUSA90060,Data Analysis,Quotas apply | Requisites apply | Subject
ANCW30011,Underworld and Afterlife,Subject
POPH90312,Foundations of Public Health,Requisites apply | Subject
POPH90068,Prevention and Control of STIs and HIV,Subject
REHB90010,Research and Evidence in Practice,Subject
WELF90009,Genetic Counselling Practice 1,Requisites apply | Subject
EDUC90839,Science in Schools,Requisites apply | Subject
ASIA30003,Asian Religions in Societal Context,Subject
ELEN30012,Signals and Systems,Requisites apply | Subject
PHYC90046,Physics Research Project Pt 4,Requisites apply | Subject
POPH90321,Health System Transformation,Requisites apply | Subject
ANCW40015,Gender and Sexuality in Greece and Rome,Requisites apply | Subject
AUDI90054,Audiology Practice B,Requisites apply | Subject
JAPN30002,Social Change in Japan,Subject
EDUC91307,Learning Area Mathematics Additional 3,Requisites apply | Subject
LAWS70130,State Taxes and Duties,Quotas apply | Requisites apply | Subject
JAPN20007,Japanese 3,Requisites apply | Subject
MGMT90247,Maintaining Quality within Institutions,Subject
BTCH30002,Trends & Issues in Agrifood Biotech,Requisites apply | Subject
CHEN90035,Downstream Bioprocessing,Requisites apply | Subject
DPSS90003,Design Projects 2,Requisites apply | Subject
BUSA20001,Visualisation and Data Wrangling,Requisites apply | Subject
HLTH90021,Biomedical Enterprise Research to Impact,Subject
DENT90095,Orthodontics 3,Subject
ACCT90011,Special Topics in Accounting,Requisites apply | Subject
GENE90026,Clinical Genome Variant Analysis 1,Requisites apply | Subject
CHIN10005,Chinese 1,Requisites apply | Subject
MUSI40017,Practical Study 2,Requisites apply | Subject
OPTO90032,Research Project A (VisionSci) Part 1,Subject
PHYS30009,Experimental Physiology,Quotas apply | Requisites apply | Subject
ORAL10005,Oral Health Practice 1,Requisites apply | Subject
INFO30005,Advanced Interface Prototyping,Requisites apply | Subject
LAWS90190,"Sexualities, Gender, Activism and Law",Quotas apply | Requisites apply | Subject
EDUC91307,Learning Area Mathematics Additional 3,Requisites apply | Subject
LAWS70130,State Taxes and Duties,Quotas apply | Requisites apply | Subject
PADM90013,Leadership in Clinical Settings,Requisites apply | Subject
SOCI90020,Social Policy: Special Topics A,Subject
FLTV20017,Screenwriting Practices 2B,Requisites apply | Subject
CHEN30001,Reactors and Catalysis,Requisites apply | Subject
MEDS90011,Research Methods in Surgical Education,Requisites apply | Subject
HPSC20002,A History of Nature,Quotas apply | Subject
ITAL20004,Contemporary Italy Study Abroad,Requisites apply | Overseas | Subject
MULT20012,Arts Internship: Not for Profit,Requisites apply | Workplace component | Subject
JAPN10008,Japanese 4,Requisites apply | Subject
JEWI30005,Research in Contemporary Jewish Studies,Requisites apply | Subject
BMEN20003,Applied Computation in Bioengineering,Requisites apply | Subject
FOOD90041,The Politics of Food,Subject
MUSI90226,Orchestral Instrument Performance 4,Requisites apply | Subject
CVEN90073,Integrated Design Studio,Quotas apply | Subject
ANTH30025,Extractive Legacies in Latin America,Requisites apply | Overseas | Subject
EDUC90868,Methodological Foundations,Requisites apply | Subject
AGRI90070,Minor Research Project,Requisites apply | Subject
FLTV90051,Screen Making 2 (Screen Producing),Requisites apply | Subject
NURS90069,Clinical Leadership in Context,Subject
KORE10006,Korean 6,Requisites apply | Subject
ARTS90006,Introductory Academic Program,Requisites apply | Subject
ELEN90014,Multimedia Content Delivery,Requisites apply | Subject
ASIA90004,Critical Asian Perspectives,Subject
ARTS90038,Writing as Women: Critical Readings,Subject
AHIS90007,"Biennales, Triennales and Documentas",Subject
LAWS90275,Post-Conviction Remedies for Innocence,Quotas apply | Subject
DENT90100,Periodontics 2,Subject
PSYT90016,Forensic Psychiatry,Subject
OPTO40012,Vision Science Research Project Part 1,Requisites apply | Subject
AGRI30022,Special Studies,Requisites apply | Subject
MGMT90249,Research Foundations,Requisites apply | Subject
ISYS90081,Business Process Management,Requisites apply | Subject
MAST20030,Differential Equations,Requisites apply | Subject
EDUC90900,Resilience and Relationships,Subject
ACCT90004,Accounting for Decision Making,Requisites apply | Subject
DPSS90005,Design Projects 3 Part 2,Requisites apply | Subject
MUSI40028,Music and Gender,Subject
MUSI90232,Repetiteur Skills,Subject
EDUC90802,Research in Clinical Education,Requisites apply | Subject
INDG20003,Aboriginal Women: Activism & Leadership,Subject
SCWK90067,Implementation Science in Theory,Subject
PSYC90108,Sport Psychology,Subject
DEVT90062,Development and Inequality,Subject
CVEN90043,Sustainable Infrastructure Engineering,Subject
INFO20005,User Interface Development,Requisites apply | Subject
LAWS90025,Liability Insurance Law,Quotas apply | Subject
BUSA90030,"Business, Governance & Ethics in Asia",Subject
MUSI40074,Music and Health,Subject
ANSC30004,Applied Animal Reproduction & Genetics,Requisites apply | Subject
PPMN90048,Crisis Management,Subject
ERTH90050,Earth Sciences Research Project Pt4,Subject
POPH90309,Environmental Health,Subject
JAPN10001,Japanese 1,Requisites apply | Subject
POPH90288,Biostatistics Research Project Part 1,Requisites apply | Subject
EDUC90945,Applied Research Study,Requisites apply | Subject
LAWS50047,Family Law,Quotas apply | Requisites apply | Subject
PPMN40007,Public Policy & Management Thesis Part 2,Requisites apply | Subject
MAST90083,Computational Statistics & Data Science,Requisites apply | Subject
GEOL90022,Practical Earth Science A,Subject
PATH40009,Clinical Path Research Project Part 2,Requisites apply | Subject
BUSA90487,General Management 3,Requisites apply | Subject
POPH30003,Real World Epidemiology,Subject
ACTL40012,Actuarial Analytics and Data II,Requisites apply | Subject
HIST70005,MA Research,Requisites apply | Subject
HORT20027,Greening Landscapes,Subject
SCRN40010,Dream Screen: Film and Psychoanalysis,Subject
GEOG20008,Inside the City of Diversity,Subject
ABPL90432,Building Information Modelling,Requisites apply | Subject
MUSI40084,Research Paper,Requisites apply | Subject
MKTG90003,Public Relations,Subject
MGMT90127,Leadership Theory & Practice,Requisites apply | Subject
EDUC91315,Key Concepts of Language,Subject
ISYS90126,Cyber Security Practice in Organisations,Requisites apply | Subject
ECON90003,Macroeconomics,Requisites apply | Subject
PHIL70005,Shorter Thesis - Philosophy,Subject
BMSC90031,Research Project A (Psych) Part 1,Subject
MGMT90225,Business Model Innovation,Requisites apply | Subject
MIIM20001,Principles of Microbiology & Immunology,Requisites apply | Subject
LAWS70205,Project Finance,Quotas apply | Subject
COMP90064,Computer Science Research Project Pt2,Requisites apply | Subject
DPSS10007,The History of Cool: Fashion & Attitude,Subject
SOCI90004,Critical Social Policy,Requisites apply | Subject
FLTV90046,Screen Story 2,Requisites apply | Subject
ITAL20006,Languages of Venice: Study Abroad,Requisites apply | Overseas | Subject
PUBL90001,Structural Editing,Requisites apply | Subject
LAWS70402,Remedies in Commercial Law,Quotas apply | Subject
GEOM90006,Spatial Data Analytics,Subject
GEND30007,Trans Studies: Cultures and Communities,Subject
CREA70001,Research Project (MFA),Subject
MCEN90017,Advanced Motion Control,Requisites apply | Subject
POLS20033,Authoritarian Politics,Subject
GEND30006,"Trauma, Memory, Bodies",Subject
LAWS70110,International Financial System,Quotas apply | Subject
PHYC10001,Physics 1: Advanced,Requisites apply | Subject
EDUC91110,Learning Area Media Studies 1,Subject
EDUC90587,Grammar for Language Teachers,Requisites apply | Subject
KORE20002,Contemporary Korea,Subject
EDUC91317,Foundations: Curriculum,Requisites apply | Subject
EDUC90377,Advanced English Literacies,Requisites apply | Subject
MUSI10223,Sound in Performance,Subject
ITAL10008,Italian 1 (Intensive),Requisites apply | Subject
ABPL20035,Cities: From Local to Global,Subject
EDUC91070,Engaging and Assessing Learners (ECP) 3,Requisites apply | Subject
EDUC91018,Learning from Evidence (EC&P),Requisites apply | Subject
ANAT90008,Surgical Anatomy,Requisites apply | Subject
JAPN40002,Honours Japanese B,Requisites apply | Subject
MUSI30053,The Ethnography of Music,Subject
HPSC90012,"Trust, Communication and Expertise",Subject
MAST90132,Lie Algebras,Requisites apply | Subject
PADM90016,Public Sector Governance,Subject
ECOM90025,Advanced Data Analysis,Requisites apply | Subject
LAWS90017,International Tax: Advanced Topics,Quotas apply | Requisites apply | Subject
EDUC90931,Education Research Design Part 1,Requisites apply | Subject
LAWS70161,International Petroleum Transactions,Quotas apply | Requisites apply | Subject
PPMN90032,Innovative Design and Service Delivery,Subject
VETS90031,Veterinary Industry Internship,Subject
EDUC91097,Learning Area Commerce 1,Subject
PUBL90025,Grattan Street Press (Extended),Requisites apply | Subject
HIST30065,US and the World: Rise of a Superpower,Subject
CWRI90019,Advanced Creative Writing Project,Requisites apply | Subject
ISYS90110,Info Systems Capstone Research Proj Pt2,Requisites apply | Subject
BMEN90037,Bioengineering Data Analytics,Requisites apply | Subject
HIST80001,PhD Research,Subject
DPSS20010,Production Practice 1,Requisites apply | Subject
THTR10007,The Actors Process,Subject
HIST20091,Migrant Nation: History Culture Identity,Subject
FNCE90016,International Financial Management,Requisites apply | Subject
MGMT90148,Consulting Fundamentals,Subject
PHIL40002,Recent European Philosophy,Subject
ENGL10002,Canons in Literature and Performance,Subject
CHIN20009,Chinese Economic Documents,Requisites apply | Subject
DNCE10032,Thinking through Dancing,Requisites apply | Subject
ABPL90312,Cost Management,Subject
EDUC91331,Generative AI in Education,Requisites apply | Subject
HIST40039,History Thesis Part 1,Requisites apply | Subject
DNCE30030,Professional Practice,Requisites apply | Subject
POPH90013,Biostatistics,Subject
CONS10001,Principles of Building,Requisites apply | Subject
OPTO20004,"Perception, Illusions and Art",Subject
ENGL20032,"Poetry, Love, and Death",Subject
LAWS70433,Regional Integration: The Case of the EU,Subject
DRAM30033,Theatre Practice 3,Requisites apply | Subject
MCEN90055,Manufacturing Processes and Technology,Subject
ECOM90017,Econometrics of Markets and Competition,Requisites apply | Subject
ABPL90377,Design for Ageing,Subject
ECOM90001,Basic Econometrics,Requisites apply | Subject
MEDI90124,Transoesophageal Echocardiography (TOE),Requisites apply | Subject
